SPEED,IMEP,ANGLE,VVT,TORQUE,BSFC,COV
1200,201.65,27.53692293,0.277618838,16,516.41,0.89
1200,200.73,31.01503906,11.60198975,15.7,536.34,1.11
1200,199.93,43.99702148,23.80733643,14.6,561.42,6.88
1200,199.93,44.08954421,36.15651897,12.2,777.14,78.1
1200,204.11,41.271875,47.77736816,9.8,986.51,106.36
1200,302.03,23.40800781,0.294384766,27.9,394.82,0.69
1200,302.55,24.79665527,11.62972412,28.3,388.11,0.75
1200,299.95,34.98726037,23.73944885,27.8,384.08,0.76
1200,302.94,44.24748142,35.96061962,27.7,394.2,22.31
1200,300.06,43.28271714,47.59954519,23.6,495.82,58.5
1200,397.03,21.6977455,11.56492077,40,323.93,3.2
1200,402.95,26.86628418,23.75394287,41,318.97,0.68
1200,403.49,44.81765943,35.69691412,39.7,315.87,1.82
1200,401.66,45.1950802,47.31040933,39.6,334.82,16.93
1200,398.94,20.22619629,0.302404785,40.3,337.52,0.67
1200,501.65,18.49838867,0.307189941,52.9,304.08,0.58
1200,503.27,19.69358862,11.59526604,53.2,297.45,0.61
1200,497.52,22.22255859,23.740271,52.6,297.26,0.61
1200,498.81,32.20432316,35.71838322,52.3,291.64,0.89
1200,502.53,44.72985133,47.12651604,51.5,285.93,2.46
1200,600.31,17.57905419,0.313013498,65.1,285.97,0.65
1200,599.55,17.69466451,11.58610867,65.1,284.17,0.62
1200,598.42,19.87900391,23.76329346,65,277.36,0.63
1200,598.1,26.24956055,35.63470459,64.7,275.16,0.76
1200,600.69,32.68425293,47.05422363,64.7,274.1,1.01
1200,703.97,16.59624023,0.310534668,77.8,269.36,0.59
1200,704.02,16.20297852,11.63565674,78,272.27,0.66
1200,703,18.14060059,23.74807129,77.9,267.66,0.87
1200,702.64,21.37160645,35.58221436,77.7,262.45,0.81
1200,702.15,25.28736307,46.99585534,77.3,262.23,0.79
1200,799.91,15.60798122,0.307279441,89.7,263.5,0.7
1200,801.76,16.15375587,11.56849081,89.9,261.21,0.61
1200,802.28,16.72522985,23.68791569,90,261.2,0.62
1200,797.3,18.41033353,35.61188136,89.3,259.5,0.95
1200,802.77,18.94569151,47.17796362,89.8,257.68,0.67
1200,902.69,13.7130127,0.322070313,102.3,258.79,0.7
1200,902.33,13.90253906,11.59831543,102.3,256.27,0.64
1200,904.08,13.39918329,23.58131602,102.4,254.34,0.6
1200,899.37,14.43974609,35.37672119,101.9,258.17,0.77
1200,902.36,14.22804186,46.78507678,101.8,258.55,0.86
1200,1004.78,7.612627152,0.373496185,114.9,259.67,0.83
1200,1002.81,6.917504883,11.65030518,114.6,261.91,0.98
1200,1004.68,7.294604492,23.38951416,114.8,261.16,0.96
1200,1007.53,8.486869131,35.62742077,114.8,260.2,0.97
1200,1000.6,8.502514648,47.05865479,113.9,261.46,1.09
1200,1390.13,-3.141456377,46.6137275,162.9,324.63,1.03
1200,1103.89,6.127885368,0.394965278,127.2,275.24,0.62
1200,1136.15,3.765454102,11.80184326,131.2,281.07,0.94
1200,1198.64,1.593066406,23.37427979,138.2,282.57,1.02
1200,1314.67,-0.802539063,34.90916748,152.7,294.77,1.03
,,,,,,
,,,,,,
1600,303.41,25.04208984,0.241296387,28.3,385.48,1
1600,299.55,25.42263184,11.6567627,27.9,390.74,0.93
1600,301.45,30.94970168,24.0598347,28,382.27,1.08
1600,303.86,42.73781738,35.47363281,26.9,380.03,3.06
1600,299.82,44.66328125,47.95936279,27.1,415.03,31.29
1600,403.31,22.54337833,0.258093701,40.7,332.77,1.51
1600,400.56,22.62910798,11.73505966,40.6,324.25,0.68
1600,403.3,25.16416016,24.0480835,40.9,318.03,1.93
